INFO:root:nt(name='local', type='', dir=True, name_high_dir='632360')
INFO:root:nt(name='c6d377af-1b4f-4740-8214-65541ef6f1ad.xml', type='.xml', dir=False, name_high_dir='UserProfiles')
INFO:root:nt(name='UserProfiles', type='', dir=True, name_high_dir='remote')
INFO:root:nt(name='remote', type='', dir=True, name_high_dir='632360')
INFO:root:nt(name='stats', type='', dir=True, name_high_dir='632360')
INFO:root:nt(name='632360', type='', dir=True, name_high_dir='CreamAPI')
INFO:root:nt(name='CreamAPI', type='', dir=True, name_high_dir='Risk of Rain 2')
INFO:root:nt(name='cream_api.ini', type='.ini', dir=False, name_high_dir='Risk of Rain 2')
INFO:root:nt(name='dlls.txt', type='.txt', dir=False, name_high_dir='Risk of Rain 2')
INFO:root:nt(name='favicon.ico', type='.ico', dir=False, name_high_dir='Risk of Rain 2')
INFO:root:nt(name='FreeTP.Org.url', type='.url', dir=False, name_high_dir='Risk of Rain 2')
INFO:root:nt(name='enabled_mods.txt', type='.txt', dir=False, name_high_dir='Mods')
INFO:root:nt(name='Mods', type='', dir=True, name_high_dir='Risk of Rain 2')
INFO:root:nt(name='mono-2.0-bdwgc.dll', type='.dll', dir=False, name_high_dir='EmbedRuntime')
INFO:root:nt(name='MonoPosixHelper.dll', type='.dll', dir=False, name_high_dir='EmbedRuntime')
INFO:root:nt(name='EmbedRuntime', type='', dir=True, name_high_dir='MonoBleedingEdge')
INFO:root:nt(name='Compat.browser', type='.browser', dir=False, name_high_dir='Browsers')
INFO:root:nt(name='Browsers', type='', dir=True, name_high_dir='2.0')
INFO:root:nt(name='DefaultWsdlHelpGenerator.aspx', type='.aspx', dir=False, name_high_dir='2.0')
INFO:root:nt(name='machine.config', type='.config', dir=False, name_high_dir='2.0')
INFO:root:nt(name='settings.map', type='.map', dir=False, name_high_dir='2.0')
INFO:root:nt(name='web.config', type='.config', dir=False, name_high_dir='2.0')
INFO:root:nt(name='2.0', type='.0', dir=True, name_high_dir='mono')
INFO:root:nt(name='Compat.browser', type='.browser', dir=False, name_high_dir='Browsers')
INFO:root:nt(name='Browsers', type='', dir=True, name_high_dir='4.0')
INFO:root:nt(name='DefaultWsdlHelpGenerator.aspx', type='.aspx', dir=False, name_high_dir='4.0')
